,postcode,area,country,country_code,region,district,district_code,lat,long
60,S101GE,Sheffield,England,ENG,South Yorkshire,Sheffield District (B),E08000019,53.3865,-1.4974
61,S101GF,Sheffield,England,ENG,South Yorkshire,Sheffield District (B),E08000019,53.3856,-1.4975
62,S101GG,Sheffield,England,ENG,South Yorkshire,Sheffield District (B),E08000019,53.3852,-1.4984
63,S101GJ,Sheffield,England,ENG,South Yorkshire,Sheffield District (B),E08000019,53.3841,-1.5
64,S101GL,Sheffield,England,ENG,South Yorkshire,Sheffield District (B),E08000019,53.3843,-1.5004
65,S101GN,Sheffield,England,ENG,South Yorkshire,Sheffield District (B),E08000019,53.3837,-1.5023
66,S101GP,Sheffield,England,ENG,South Yorkshire,Sheffield District (B),E08000019,53.3838,-1.5029
67,S101GQ,Sheffield,England,ENG,South Yorkshire,Sheffield District (B),E08000019,53.383,-1.5054
68,S101GR,Sheffield,England,ENG,South Yorkshire,Sheffield District (B),E08000019,53.3833,-1.5055
69,S101GS,Sheffield,England,ENG,South Yorkshire,Sheffield District (B),E08000019,53.3841,-1.5044
70,S101GT,Sheffield,England,ENG,South Yorkshire,Sheffield District (B),E08000019,53.3839,-1.5048
71,S101GU,Sheffield,England,ENG,South Yorkshire,Sheffield District (B),E08000019,53.3842,-1.5065
72,S101GW,Sheffield,England,ENG,South Yorkshire,Sheffield District (B),E08000019,53.3845,-1.5068
73,S101GX,Sheffield,England,ENG,South Yorkshire,Sheffield District (B),E08000019,53.3835,-1.5059
74,S101GY,Sheffield,England,ENG,South Yorkshire,Sheffield District (B),E08000019,53.3837,-1.5073
75,S101GZ,Sheffield,England,ENG,South Yorkshire,Sheffield District (B),E08000019,53.3849,-1.5069
76,S101HA,Sheffield,England,ENG,South Yorkshire,Sheffield District (B),E08000019,53.3854,-1.5072
77,S101HB,Sheffield,England,ENG,South Yorkshire,Sheffield District (B),E08000019,53.3853,-1.5063
78,S101HD,Sheffield,England,ENG,South Yorkshire,Sheffield District (B),E08000019,53.3851,-1.5056
79,S101HE,Sheffield,England,ENG,South Yorkshire,Sheffield District (B),E08000019,53.3847,-1.5053
80,S101HF,Sheffield,England,ENG,South Yorkshire,Sheffield District (B),E08000019,53.3856,-1.5055
81,S101HG,Sheffield,England,ENG,South Yorkshire,Sheffield District (B),E08000019,53.3857,-1.5066
82,S101HH,Sheffield,England,ENG,South Yorkshire,Sheffield District (B),E08000019,53.3861,-1.5068
83,S101HJ,Sheffield,England,ENG,South Yorkshire,Sheffield District (B),E08000019,53.3859,-1.5069
84,S101HL,Sheffield,England,ENG,South Yorkshire,Sheffield District (B),E08000019,53.3855,-1.5049
85,S101HN,Sheffield,England,ENG,South Yorkshire,Sheffield District (B),E08000019,53.3849,-1.5045
86,S101HP,Sheffield,England,ENG,South Yorkshire,Sheffield District (B),E08000019,53.3843,-1.5031
87,S101HQ,Sheffield,England,ENG,South Yorkshire,Sheffield District (B),E08000019,53.3844,-1.5026
88,S101HR,Sheffield,England,ENG,South Yorkshire,Sheffield District (B),E08000019,53.3856,-1.5047
89,S101HS,Sheffield,England,ENG,South Yorkshire,Sheffield District (B),E08000019,53.3856,-1.5042
90,S101HT,Sheffield,England,ENG,South Yorkshire,Sheffield District (B),E08000019,53.3871,-1.5059
91,S101HU,Sheffield,England,ENG,South Yorkshire,Sheffield District (B),E08000019,53.3851,-1.5031
92,S101JA,Sheffield,England,ENG,South Yorkshire,Sheffield District (B),E08000019,53.383,-1.4973
93,S101JB,Sheffield,England,ENG,South Yorkshire,Sheffield District (B),E08000019,53.3828,-1.4977
94,S101JD,Sheffield,England,ENG,South Yorkshire,Sheffield District (B),E08000019,53.3829,-1.4979
95,S101LA,Sheffield,England,ENG,South Yorkshire,Sheffield District (B),E08000019,53.3846,-1.5018
96,S101LB,Sheffield,England,ENG,South Yorkshire,Sheffield District (B),E08000019,53.3847,-1.5025
97,S101LD,Sheffield,England,ENG,South Yorkshire,Sheffield District (B),E08000019,53.3858,-1.5038
98,S101LE,Sheffield,England,ENG,South Yorkshire,Sheffield District (B),E08000019,53.3873,-1.5056
99,S101LF,Sheffield,England,ENG,South Yorkshire,Sheffield District (B),E08000019,53.3873,-1.5049
100,S101LG,Sheffield,England,ENG,South Yorkshire,Sheffield District (B),E08000019,53.3871,-1.4991
101,S101LH,Sheffield,England,ENG,South Yorkshire,Sheffield District (B),E08000019,53.3874,-1.4989
102,S101LJ,Sheffield,England,ENG,South Yorkshire,Sheffield District (B),E08000019,53.3866,-1.5005
103,S101LL,Sheffield,England,ENG,South Yorkshire,Sheffield District (B),E08000019,53.3864,-1.5024
104,S101LN,Sheffield,England,ENG,South Yorkshire,Sheffield District (B),E08000019,53.3865,-1.5029
105,S101LP,Sheffield,England,ENG,South Yorkshire,Sheffield District (B),E08000019,53.3862,-1.5046
106,S101LQ,Sheffield,England,ENG,South Yorkshire,Sheffield District (B),E08000019,53.3863,-1.5064
107,S101LR,Sheffield,England,ENG,South Yorkshire,Sheffield District (B),E08000019,53.3847,-1.5014
108,S101LS,Sheffield,England,ENG,South Yorkshire,Sheffield District (B),E08000019,53.3847,-1.5004
109,S101LT,Sheffield,England,ENG,South Yorkshire,Sheffield District (B),E08000019,53.3852,-1.5004
110,S101LU,Sheffield,England,ENG,South Yorkshire,Sheffield District (B),E08000019,53.3854,-1.4995
111,S101LW,Sheffield,England,ENG,South Yorkshire,Sheffield District (B),E08000019,53.3855,-1.4992
112,S101LX,Sheffield,England,ENG,South Yorkshire,Sheffield District (B),E08000019,53.3854,-1.5001
113,S101LY,Sheffield,England,ENG,South Yorkshire,Sheffield District (B),E08000019,53.3857,-1.5003
114,S101LZ,Sheffield,England,ENG,South Yorkshire,Sheffield District (B),E08000019,53.3856,-1.4985
115,S101NA,Sheffield,England,ENG,South Yorkshire,Sheffield District (B),E08000019,53.386,-1.4987
116,S101NB,Sheffield,England,ENG,South Yorkshire,Sheffield District (B),E08000019,53.3863,-1.4989
117,S101ND,Sheffield,England,ENG,South Yorkshire,Sheffield District (B),E08000019,53.3871,-1.4982
118,S101NE,Sheffield,England,ENG,South Yorkshire,Sheffield District (B),E08000019,53.3859,-1.5021
119,S101NF,Sheffield,England,ENG,South Yorkshire,Sheffield District (B),E08000019,53.3862,-1.5007
120,S101NG,Sheffield,England,ENG,South Yorkshire,Sheffield District (B),E08000019,53.3874,-1.5021
121,S101NH,Sheffield,England,ENG,South Yorkshire,Sheffield District (B),E08000019,53.3875,-1.5016
122,S101NJ,Sheffield,England,ENG,South Yorkshire,Sheffield District (B),E08000019,53.3863,-1.4999
123,S101NL,Sheffield,England,ENG,South Yorkshire,Sheffield District (B),E08000019,53.3879,-1.5014
124,S101NN,Sheffield,England,ENG,South Yorkshire,Sheffield District (B),E08000019,53.388,-1.5009
125,S101NP,Sheffield,England,ENG,South Yorkshire,Sheffield District (B),E08000019,53.3881,-1.5003
126,S101NQ,Sheffield,England,ENG,South Yorkshire,Sheffield District (B),E08000019,53.3883,-1.4999
127,S101NR,Sheffield,England,ENG,South Yorkshire,Sheffield District (B),E08000019,53.3873,-1.503
